AIRPORT,TR_AIRPORT_NAME,TR_CITY_NAME,TR_STATE_NAME,TR_COUNTRY_NAME,TR_WAC,BEGIN_DATE_SOURCE,END_DATE,AIRPORT_REGION,LAT_DEGREES,LAT_MINUTES,LAT_SECONDS,LAT_HEMISPHERE,LATITUDE,LON_DEGREES,LON_MINUTES,LON_SECONDS,LON_HEMISPHERE,LONGITUDE,AIRPORT_ID
ZVA,"Miandrivazo, Madagascar: Miandrivazo Airport","Miandrivazo, Madagascar",,Madagascar,541,6/1/78,,Madag.,19,33,39,S,-19.56083333,45,27,5,E,45.45138888,575910
ZUM,"Churchill Falls, Canada: Churchill Falls Airport","Churchill Falls, Canada",,Canada,961,1/1/50,,Newfoundland and Labrador,53,33,46,N,53.56277777,64,6,33,W,-64.10916666,192000
ZUH,"Zhuhai, China: Zhuhai","Zhuhai, China",,China,713,3/1/02,,,22,16,37,N,22.27694444,113,34,4,E,113.5677778,997700
ZTS,"Tahsis, Canada: Tahsis","Tahsis, Canada",,Canada,906,1/1/50,,British Columbia,49,55,1,N,49.91694444,126,39,0,W,-126.65,872700
ZTH,"Zakinthos, Greece: Zakinthos Airport","Zakinthos, Greece",,Greece,433,1/1/50,,Greece,37,45,4,N,37.75111111,20,52,58,E,20.88277777,996100
ZSW,"Prince Rupert, Canada: Seal Cove Sea Plane Base","Prince Rupert, Canada",,Canada,906,12/1/97,,British Columbia,54,19,48,N,54.32999999,130,16,42,W,-130.2783333,728822
ZSW,"Seal Cove Seaplane Base, Canada: Seal Cove Sea Plane Base","Seal Cove Seaplane Base, Canada",,Canada,906,6/1/77,9/1/98,British Columbia,54,20,0,N,54.33333333,130,17,0,W,-130.2833333,728812
ZST,"Stewart, Canada: Stewart Airport","Stewart, Canada",,Canada,906,1/1/50,,British Columbia,55,56,0,N,55.93333333,129,59,0,W,-129.9833333,859000
ZSS,"Sassandra, Cote d Ivoire (formerly Ivory Coast): Sassandra Airport","Sassandra, Cote d Ivoire (formerly Ivory Coast)",,Cote d Ivoire (formerly Ivory Coast),533,1/1/50,,Ivory Coast,4,55,28,N,4.92444444,6,8,8,W,-6.13555555,822100
ZSL,"Sligo, Ireland: Sligo Bus Station","Sligo, Ireland",,Ireland,441,2/1/02,,,54,17,0,N,54.28333333,8,28,0,W,-8.46666666,845701
ZSA,"San Salvador, Bahamas: San Salvador Airport","San Salvador, Bahamas",,Bahamas,204,1/1/50,1/31/03,B. Is.,24,3,36,N,24.06,74,31,59,W,-74.53305555,805700
ZSA,"San Salvador, Bahamas: San Salvador Airport","San Salvador, Bahamas",,Bahamas,204,3/1/80,,Bahamas,24,3,36,N,24.06,74,31,59,W,-74.53305555,805710
ZRH,"Zurich, Switzerland: Zurich Airport","Zurich, Switzerland",,Switzerland,486,1/1/50,,Switzerland,47,27,30,N,47.45833333,8,33,6,E,8.55166666,999600
ZQN,"Queenstown, New Zealand: Queenstown Airport","Queenstown, New Zealand",,New Zealand,851,1/1/50,,N. Z.,45,1,17,S,-45.02138888,168,44,20,E,168.7388889,743500
ZPB,"Sachigo Lake, Canada: Sachigo Lake Airport","Sachigo Lake, Canada",,Canada,936,6/1/99,,Ontario,53,53,26,N,53.89055555,92,11,43,W,-92.19527777,778300
ZOS,"Osorno, Chile: Canal Bajo/Carlos H Siebert","Osorno, Chile",,Chile,324,1/1/50,,Chile,40,36,41,S,-40.61138888,73,3,37,W,-73.06027777,667600
ZOM,"Zomba, Malawi: Zomba Airport","Zomba, Malawi",,Malawi,542,1/1/50,,Malawi,15,23,1,S,-15.38361111,35,23,23,E,35.38972222,999100
ZOF,"Ocean Falls, Canada: Ocean Falls Airport","Ocean Falls, Canada",,Canada,906,1/1/50,,British Columbia,52,22,0,N,52.36666666,127,42,0,W,-127.7,655500
ZNZ,"Zanzibar, Tanzania: Zanzibar Airport","Zanzibar, Tanzania",,Tanzania,585,1/1/50,,Tanzania,6,13,9,S,-6.21916666,39,13,19,E,39.22194444,997100
ZNQ,"Ingolstadt, Germany: Ingolstadt Airport","Ingolstadt, Germany",,Germany,429,12/1/89,,Germany,48,42,54,N,48.715,11,32,3,E,11.53416666,385581
ZNE,"Newman, Australia: Newman","Newman, Australia",,Australia,802,1/1/50,,Australia,23,24,42,S,-23.41166666,119,48,0,E,119.8,635600
ZND,"Zinder, Niger: Zinder Airport","Zinder, Niger",,Niger,554,1/1/50,,Niger,13,46,46,N,13.77944444,8,58,59,E,8.98305555,998900
ZNC,"Nyac, AK: Nyac Airport","Nyac, AK",Alaska,United States of America,1,1/1/50,,Alaska,60,58,53,N,60.98138888,159,59,28,W,-159.9911111,653100
ZNA,"Nanaimo, Canada: Harbour","Nanaimo, Canada",,Canada,906,9/1/84,,British Columbia,49,9,0,N,49.15,123,56,0,W,-123.9333333,622620
ZMT,"Masset, Canada: Masset Airport","Masset, Canada",,Canada,906,12/1/74,,British Columbia,54,1,29,N,54.02472222,132,7,6,W,-132.1183333,557450
ZMD,"Sena Madureira, Brazil: Sena Madureira Airport","Sena Madureira, Brazil",,Brazil,316,2/1/02,,,9,4,17,S,-9.07138888,68,39,17,W,-68.65472222,828050
ZLT,"La Tabatiere, Canada: La Tabatie","La Tabatiere, Canada",,Canada,941,12/1/79,,Quebec,50,50,0,N,50.83333333,58,57,0,W,-58.95,487800
ZLO,"Manzanillo, Mexico: Manzanillo Airport","Manzanillo, Mexico",,Mexico,148,1/1/50,,Mexico,19,6,48,N,19.11333333,104,21,2,W,-104.3505556,546400
